Date,ID,ID_score,PHG,ENK,age,ageest
7/1/2014,pz,121.7013579,1,0,14.15742642,known
7/1/2014,jy,36.59273692,1,0,8.158795346,known
7/1/2014,oz,87.55485952,1,0,7.783709788,known
7/1/2014,sn,82.71998036,1,0,14.49691992,estimate
7/1/2014,ez,-148.1192702,1,0,6.880219028,known
7/1/2014,ph,-272.8383088,1,0,6.81724846,known
7/1/2014,xc,-207.4658966,1,0,5.998631075,known
7/1/2014,s1,-37.20359347,0,1,13.65092402,estimate
7/1/2014,yn,146.4365867,0,1,8.761122519,known
7/1/2014,yr,71.54699147,0,1,7.123887748,known
7/1/2014,jj,-6.313147822,0,1,7.611225188,known
7/1/2014,tp,68.9898014,0,1,10.49691992,known
10/1/2014,bt,155.1174911,1,0,11.50171116,estimate
10/1/2014,oe,223.2502972,1,0,9.919233402,known
10/1/2014,pz,135.1787787,1,0,14.40930869,known
10/1/2014,yn,248.489736,1,0,9.013004791,known
10/1/2014,jy,16.69331522,1,0,8.410677618,known
10/1/2014,oz,124.3514906,1,0,8.03559206,known
10/1/2014,sn,74.0632846,1,0,14.74880219,estimate
10/1/2014,ez,-135.2954364,1,0,7.1321013,known
10/1/2014,ph,-268.0580302,1,0,7.069130732,known
10/1/2014,xc,-242.7131087,1,0,6.250513347,known
10/1/2014,s1,-82.69552206,0,1,13.9028063,estimate
10/1/2014,yr,77.49906199,0,1,7.375770021,known
10/1/2014,jj,-20.10262035,0,1,7.863107461,known
10/1/2014,tp,97.81381522,0,1,10.74880219,known
10/1/2014,yy,-106.5123089,0,1,5.689253936,known
1/1/2015,bt,164.9725593,1,0,11.75359343,estimate
1/1/2015,oe,213.5240795,1,0,10.17111567,known
1/1/2015,pz,116.5180305,1,0,14.66119097,known
1/1/2015,jy,22.9632,1,0,8.66255989,known
1/1/2015,oz,137.0904723,1,0,8.287474333,known
1/1/2015,sn,87.90210578,1,0,15.00068446,estimate
1/1/2015,ez,-145.9390987,1,0,7.383983573,known
1/1/2015,ph,-244.6648526,1,0,7.321013005,known
1/1/2015,xc,-257.5437989,1,0,6.502395619,known
1/1/2015,s1,-30.23108742,0,1,14.15468857,estimate
1/1/2015,yn,245.2185933,0,1,9.264887064,known
1/1/2015,yr,10.27368489,0,1,7.627652293,known
1/1/2015,jj,-7.989121244,0,1,8.114989733,known
1/1/2015,tp,122.0829663,0,1,11.00068446,known
1/1/2015,yy,-130.971491,0,1,5.941136208,known
4/1/2015,bt,36.82003751,1,0,12,estimate
4/1/2015,pz,134.8949707,1,0,14.90759754,known
4/1/2015,jy,75.19285624,1,0,8.908966461,known
4/1/2015,oz,72.47296612,1,0,8.533880903,known
4/1/2015,sn,45.50518406,1,0,15.24709103,estimate
4/1/2015,ph,-166.9945009,1,0,7.567419576,known
4/1/2015,xc,-251.6733374,1,0,6.74880219,known
4/1/2015,oe,108.3232566,0,1,10.41752225,known
4/1/2015,s1,20.0222037,0,1,14.40109514,estimate
4/1/2015,yn,268.076421,0,1,9.511293634,known
4/1/2015,yr,140.0152389,0,1,7.874058864,known
4/1/2015,jj,44.83186729,0,1,8.361396304,known
4/1/2015,tp,92.31660936,0,1,11.24709103,known
4/1/2015,yy,-160.0669913,0,1,6.187542779,known
7/1/2015,bt,24.77559443,1,0,12.24914442,estimate
7/1/2015,oe,141.0063224,1,0,10.66666667,known
7/1/2015,pz,74.1325711,1,0,15.15674196,known
7/1/2015,jy,134.1704793,1,0,9.158110883,known
7/1/2015,oz,127.407627,1,0,8.783025325,known
7/1/2015,sn,25.10711279,1,0,15.49623546,estimate
7/1/2015,ph,-162.6630467,1,0,7.816563997,known
7/1/2015,xc,-250.3918645,1,0,6.997946612,known
7/1/2015,s1,-68.58330389,0,1,14.65023956,estimate
7/1/2015,yn,259.3969673,0,1,9.760438056,known
7/1/2015,yr,117.5184775,0,1,8.123203285,known
7/1/2015,jj,127.0200976,0,1,8.610540726,known
7/1/2015,tp,98.34266524,0,1,11.49623546,known
7/1/2015,yy,-162.5567562,0,1,6.436687201,known
10/1/2015,bt,59.65142001,1,0,12.50102669,estimate
10/1/2015,oe,70.1573552,1,0,10.91854894,known
10/1/2015,pz,77.54459479,1,0,15.40862423,known
10/1/2015,jy,209.6083172,1,0,9.409993155,known
10/1/2015,oz,130.7060052,1,0,9.034907598,known
10/1/2015,sn,-15.95767998,1,0,15.74811773,estimate
10/1/2015,ph,-112.4059144,1,0,8.06844627,known
10/1/2015,xc,-224.4451879,1,0,7.249828884,known
10/1/2015,um,-222.5894556,1,0,5.368925394,known
10/1/2015,s1,-104.2339585,0,1,14.90212183,estimate
10/1/2015,yn,253.9439835,0,1,10.01232033,known
10/1/2015,yr,116.4992339,0,1,8.375085558,known
10/1/2015,jj,-5.19681235,0,1,8.862422998,known
10/1/2015,tp,59.59391565,0,1,11.74811773,known
10/1/2015,yy,-65.56978469,0,1,6.688569473,known
1/1/2016,bt,102.6430674,1,0,12.75290897,estimate
1/1/2016,oe,165.7188086,1,0,11.17043121,known
1/1/2016,pz,26.5003106,1,0,15.6605065,known
1/1/2016,jy,179.8344531,1,0,9.661875428,known
1/1/2016,oz,57.88767587,1,0,9.28678987,known
1/1/2016,sn,-29.63542788,1,0,16,estimate
1/1/2016,ph,-111.2256066,1,0,8.320328542,known
1/1/2016,um,-239.068101,1,0,5.620807666,known
1/1/2016,xh,-238.2395549,1,0,5.557837098,known
1/1/2016,s1,-79.16351838,0,1,15.15400411,estimate
1/1/2016,yn,302.2880547,0,1,10.2642026,known
1/1/2016,yr,135.9062963,0,1,8.62696783,known
1/1/2016,jj,10.52505651,0,1,9.11430527,known
1/1/2016,tp,59.56867825,0,1,12,known
1/1/2016,yy,-59.93184813,0,1,6.940451745,known
4/1/2016,bt,95.20608844,1,0,13.00205339,estimate
4/1/2016,oe,100.0445766,1,0,11.41957563,known
4/1/2016,pz,49.5517341,1,0,15.90965092,known
4/1/2016,jy,145.7576485,1,0,9.911019849,known
4/1/2016,oz,85.13912251,1,0,9.535934292,known
4/1/2016,sn,-40.49002196,1,0,16.24914442,estimate
4/1/2016,ph,-60.40819981,1,0,8.569472964,known
4/1/2016,um,-245.4973947,1,0,5.869952088,known
4/1/2016,xh,-217.7290028,1,0,5.80698152,known
4/1/2016,ub,-264.9372517,1,0,5.730321697,known
4/1/2016,s1,-22.62426176,0,1,15.40314853,estimate
4/1/2016,yn,280.1850805,0,1,10.51334702,known
4/1/2016,yr,139.0217756,0,1,8.876112252,known
4/1/2016,jj,17.35087984,0,1,9.363449692,known
4/1/2016,tp,-26.28662094,0,1,12.24914442,known
4/1/2016,yy,7.723717531,0,1,7.189596167,known
7/1/2016,bt,33.48136882,1,0,13.25119781,estimate
7/1/2016,pz,103.7570488,1,0,16.15879535,known
7/1/2016,jy,21.8351206,1,0,10.16016427,known
7/1/2016,oz,66.43009211,1,0,9.785078713,known
7/1/2016,ph,142.3714236,1,0,8.818617385,known
7/1/2016,um,-236.2588921,1,0,6.119096509,known
7/1/2016,xh,-223.2021138,1,0,6.056125941,known
7/1/2016,ub,-252.135596,1,0,5.979466119,known
7/1/2016,s1,-83.00017431,0,1,15.65229295,estimate
7/1/2016,yr,93.46563791,0,1,9.125256674,known
7/1/2016,tp,68.44884525,0,1,12.49828884,known
7/1/2016,yy,31.85325551,0,1,7.438740589,known
10/1/2016,bt,100.5875534,1,0,13.50308008,estimate
10/1/2016,pz,86.65092291,1,0,16.41067762,known
10/1/2016,jy,55.28909804,1,0,10.41204654,known
10/1/2016,oz,79.28728264,1,0,10.03696099,known
10/1/2016,ph,147.3961501,1,0,9.070499658,known
10/1/2016,um,-220.9417387,1,0,6.370978782,known
10/1/2016,xh,-233.5243692,1,0,6.308008214,known
10/1/2016,ub,-273.989333,1,0,6.231348392,known
10/1/2016,s1,-131.2129674,0,1,15.90417522,estimate
10/1/2016,yr,137.5923759,0,1,9.377138946,known
10/1/2016,tp,52.43964711,0,1,12.75017112,known
10/1/2016,yy,60.60892122,0,1,7.690622861,known
